Date,Open,High,Low,Close,Adj Close,Volume
2003-10-23,11.500000,11.900000,11.350000,11.500000,6.223971,55000
2003-10-24,11.750000,12.000000,11.700000,11.750000,6.359274,44900
2003-10-27,11.850000,12.100000,11.850000,11.850000,6.413397,57800
2003-10-28,12.300000,12.300000,11.800000,12.300000,6.656943,44700
2003-10-29,12.200000,12.450000,12.150000,12.200000,6.602822,60900
2003-10-30,12.700000,12.900000,12.550000,12.700000,6.873430,33900
2003-10-31,12.000000,12.430000,12.000000,12.000000,6.494579,59400
2003-11-03,12.650000,12.850000,12.550000,12.650000,6.846369,66000
2003-11-04,12.350000,12.600000,12.250000,12.350000,6.684003,41800
2003-11-05,12.550000,12.550000,12.300000,12.550000,6.792248,47700
2003-11-06,12.250000,12.350000,11.850000,12.250000,6.629883,183300
2003-11-07,12.150000,12.300000,11.950000,12.150000,6.575760,78100
2003-11-10,12.100000,12.300000,12.000000,12.100000,6.548701,36600
2003-11-11,12.000000,12.200000,11.850000,12.000000,6.494579,121600
2003-11-12,12.400000,12.450000,12.100000,12.400000,6.711066,120700
2003-11-13,12.300000,12.400000,12.000000,12.300000,6.656943,111000
2003-11-14,12.050000,12.050000,11.750000,12.050000,6.521640,42900
2003-11-17,12.000000,12.100000,11.800000,12.000000,6.494579,53400
2003-11-18,11.800000,12.000000,11.750000,11.800000,6.386337,71900
2003-11-19,12.250000,12.250000,11.900000,12.250000,6.629883,58000
2003-11-20,11.600000,12.250000,11.600000,11.600000,6.278094,123300
2003-11-21,11.800000,12.000000,11.450000,11.800000,6.386337,65600
2003-11-24,12.200000,12.200000,12.000000,12.200000,6.602822,40300
2003-11-25,12.300000,12.300000,12.000000,12.300000,6.656943,92300
2003-11-26,12.300000,12.350000,11.950000,12.050000,6.521640,290500
2003-11-28,12.050000,12.100000,11.800000,12.100000,6.548701,74800
2003-12-01,12.100000,12.250000,12.000000,12.000000,6.494579,79600
2003-12-02,12.000000,12.050000,11.620000,12.000000,6.494579,118800
2003-12-03,11.600000,12.030000,11.600000,11.650000,6.305153,81900
2003-12-04,11.600000,11.850000,11.600000,11.750000,6.359274,81800
2003-12-05,11.300000,11.600000,11.300000,11.600000,6.278094,125900
2003-12-08,11.600000,11.900000,11.500000,11.800000,6.386337,108500
2003-12-09,11.550000,11.950000,11.550000,11.850000,6.413397,85800
2003-12-10,11.400000,11.700000,11.400000,11.400000,6.169849,70700
2003-12-11,11.600000,12.150000,11.600000,12.000000,6.494579,159100
2003-12-12,11.000000,11.950000,11.000000,11.650000,6.305153,123500
2003-12-15,11.800000,12.000000,11.550000,11.800000,6.386337,144600
2003-12-16,11.750000,11.950000,11.500000,11.750000,6.359274,150400
2003-12-17,11.650000,11.730000,11.350000,11.650000,6.305153,381200
2003-12-18,11.650000,11.650000,11.400000,11.650000,6.305153,131300
2003-12-19,11.750000,12.000000,11.650000,11.750000,6.359274,248900
2003-12-22,11.900000,12.050000,11.770000,11.900000,6.440458,173400
2003-12-23,11.800000,11.850000,11.650000,11.800000,6.386337,120900
2003-12-24,11.600000,12.000000,11.600000,11.600000,6.278094,112000
2003-12-26,11.750000,11.950000,11.700000,11.750000,6.359274,74200
2003-12-29,12.100000,12.200000,11.950000,12.100000,6.548701,146500
2003-12-30,12.000000,12.200000,11.850000,12.000000,6.494579,91500
2003-12-31,12.100000,12.260000,12.050000,12.100000,6.548701,72900
2004-01-02,12.300000,12.400000,12.100000,12.300000,6.656943,88700
